Program Name,Entry Threshold,Duration (Domestic),Duration (International),Indicative Fees,QTAC Code,Start Semester,Career Outcomes,Location,Duration,Indicative fees,Indicative 2025 fees (A$),QTAC code,Start,You might also like...,Learn everything you need to know out in the field,In the news,CRICOS code,Entry threshold,Skip the loading screens and get your career started,Find your path to university,Ready for a change?,In high school?,Tech skills in-demand all over the world,"Study crime, justice and the law for a rewarding career",Undergraduate degree,Double degree,Honours,Associate degrees,Diplomas,Gain practical skills amongst the elite,Be in-demand with a health degree from QLD's No.1 public university for skills development*.,Jump into one of the fastest growing employment sectors,The benefits,Common questions,Business graduates are in high demand worldwide,Be taught by the best,"Just like engineers, at UniSC we make things happen",Immerse yourself,Sustainability is at the heart of everything we do,Master your skills as a nurse or midwife,Become a creative and critical thinker,Why study Arts?,There's never been a more relevant time to study psychology and social sciences,At UniSC we live and breathe sustainability
Bachelor ofSocial Work  / Criminology and Justice,55.00,5 years,5 years,"A$15,072 - 2025 Fees",011221,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton Bay,5 years5 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$15,072 - 2025 FeesCSP","A$15,072 - 2025 FeesCSP",011221014321,Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inCommunity ServicesSunshine Coast,Moreton Bay6 monthsfull time or equivalent part-timeCareer outcomesSocial services, Human services, Counselling, Social Work, Criminology and JusticeDiploma inSocial and Human ServicesSunshine Coast,Moreton Bay,Fraser Coast,Gympie,Caboolture1 yearfull time or equivalent part-timeCareer outcomesDisability support, Community health, Research, Telephone counselling, Working with individuals, Families and groups, Non-government organisations, Government departments, Youth work, Welfare work, Child protection, Corrections, Aged services, Community development, Education, Mental health, Administration of counselling servicesBachelor ofSocial WorkSunshine Coast,Moreton Bay,Fraser Coast,Online4 yearsfull time or equivalent part-timeCareer outcomesHealth, Mental health, Disability, Policy development, Centrelink, Child protection, Disability in schoolsMaster ofSocial Work (Qualifying)Sunshine Coast,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesSocial work, Health, Mental health, Family support, Child protection, Aged care, Youth work, Income support, Community development, Refugee and migrant support, Indigenous rights, Human service management, Government organisations, Community agencies, Private practice",,,088622J,55.0055.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofEducation (Secondary)  / Science,68.00,4 years,4 years,"A$8,888 - 2025 Fees",017231,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton Bay,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$8,888 - 2025 FeesCSP","A$8,888 - 2025 FeesCSP",017231014231,Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inEducation (Early Childhood)Sunshine Coast,Online6 monthsfull time or equivalent part-timeCareer outcomesChildcare, Long day care, Youth support workerDiploma inEducation Studies (Early Childhood)Online1 yearfull time or equivalent part-timeCareer outcomesChildcare, Long day care, Family day care coordinatorBachelor ofEducation (Early Childhood)Sunshine Coast4 yearsfull time or equivalent part-timeCareer outcomesEarly Childhood teacher, Primary school teacher, Early Childhood centre leader/director, Tutor, Education consultant, Youth support, Children's advocateBachelor ofEducation (Secondary)  / Recreation and Outdoor Environmental StudiesSunshine Coast,Moreton Bay4 yearsfull time or equivalent part-timeCareer outcomesTeacher in secondary schools, Outdoor leader, Outdoor guide, Sports coach, Outdoor recreation officer, Environmental interpretation guide, Adventure tourism guide, Ecotourism guideMaster ofEducationSunshine Coast,Online3 yearsfull time or equivalent part-timeCareer outcomesHead of Department, School or program leader, Academic, Education advisor",,,082694G,68.0068.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofPsychology (Honours),75.00,4 years,4 years,"A$13,152 - 2025 Fees",013441,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton Bay,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$13,152 - 2025 FeesCSP","A$13,152 - 2025 FeesCSP",013441014441,Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inCommunity ServicesSunshine Coast,Moreton Bay6 monthsfull time or equivalent part-timeCareer outcomesSocial services, Human services, Counselling, Social Work, Criminology and JusticeDiploma inSocial ScienceSunshine Coast1 yearfull time or equivalent part-timeMaster ofPsychology (Clinical)Sunshine Coast2 yearsfull time or equivalent part-timeCareer outcomesPsychologist, Private health sector, Public health sector, Non-government organisations",,,090558E,75.0075.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,Pathways to UniSC,,,,"At UniSC we've helped many people just like you reach levels of education they never thought possible. Our range of specially designed pathways and bridging programs are there to help you gain entry, and give you the confidence and prerequisites you need to succeed in most programs of study. It's a great way to try university, and see if it is the right fit for you.Choose to study with a university that has a five-star rating forteaching quality, overall experience, skills development, student support, learner engagement and learner resources*.*Good Universities Guide 2023/24","Don't let the lack of a one-off score, or uncertainty and lack of confidence hold you back from achieving your study dreams. Wherever you're at, we can help you decide what you want to do and find a way for you to get there.","Kickstart your university degree while still in high school! Take advantage of the Headstart program and get started at UniSC before the rest of the pack. And, if you're keen to secure your place at uni, check out our early offer guarantee.",,,,,,,,,,,,,,,,,,,,,,
Bachelor ofLaws  / Business,70.00,5 years,5 years,"A$16,032 - 2025 Fees",018221,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton BayOnline,5 years5 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$16,032 - 2025 FeesCSP","A$16,032 - 2025 FeesCSP",018221014815015075,Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2,"Diploma inBusinessMoreton Bay,Sunshine Coast,Online1 yearfull time or equivalent part-timeCareer outcomesBusiness administration, Digital futures, Economics and finance, Human resource management, Marketing, Small business management, Tourism, Leisure and Event managementBachelor ofBusinessSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesAcademia, Government positions, Corporate positions, Consultancy, Business management, Human resource management, Marketing management, Market research, International business, Computing, Systems analysisBachelor ofBusiness  / Criminology and JusticeSunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesPolicing and law enforcement, Security and intelligence (private and public), Advocacy, Youth justice, Custodial corrections officer, Crime prevention, Research and policy, Business manager, EntrepreneurMaster ofBusiness Administration MBASunshine Coast,Online1.5 yearsfull time or equivalent part-timeCareer outcomesChief Executive Officer, Chief Operating Officer, Chief Financial Officer, General Manager, Senior Project Manager, Account Executive, High level management rolesBachelor ofCriminology and Justice (Honours)Sunshine Coast1 yearfull time or equivalent part-timeCareer outcomesPolicing, Youth justice, Restorative justice, Sexual violence and abuse, Corrections, Crime analysis, Security industry, Criminal courts, Applied crime prevention",,,081023M,70.0070.0070.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,Technology at UniSC,,,,,,,"Technology is a diverse field, one which is highly in-demand all over the world.The even better news is we're ranked No. 1 in Queensland for teaching quality, overall experience, student support and skills development* in computing and information systems, and our graduates achieve higher starting salaries than the rest of the state**. We're also ranked No. 1 in Australia for postgraduate teaching quality and skills development*.Many of our programs have industry certifications and badges built in at no extra cost, from highly recognised companies including Google, Microsoft and Cisco, so you gain the specific skills you need to kick start your career in technology.*Good Universities Guide 2023/24** Quality Indicators for Learning and Teaching (QILT) Graduate Outcomes Survey 2022",,,,,,,,,,,,,,,,,,,,,
Bachelor ofCriminology and Justice (Honours),N/A,1 year,1 year,"A$15,446 - 2025 Fees",N/A,Semester 1,N/A,{{ vm.location }}Sunshine Coast,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$15,446 - 2025 FeesCSP","A$15,446 - 2025 FeesCSP",,Semester 1,"Undergraduate Certificate inLegal StudiesSunshine Coast6 monthsfull time or equivalent part-timeCareer outcomesA first step to Paralegal work, Law administration, Law enforcement, Corrections, Youth justiceDiploma inCriminology and JusticeSunshine Coast1 yearfull time or equivalent part-time",,,0100647,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofArts (Honours),N/A,1 year,1 year,"A$16,992 - 2025 Fees",Direct application to USC,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton Bay,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$16,992 - 2025 FeesCSP","A$16,992 - 2025 FeesCSP",Direct application to USCFrom 2021,Semester 1Semester 1,"Bachelor ofArtsSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesResearcher, Publisher, Editor, Sociologist, Geographer, Historian, Policy officer, Government / development professional, Media and communications professional, WriterBachelor ofArts  / BusinessSunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesBusiness manager, Entrepreneur, Marketing coordinator, Communications professional, Researcher, Editor, Sociologist, Geographer, Historian, Policy officer, WriterMaster ofArtsSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesCommunication and media studies, Creative arts, Mental health and wellbeing, Society and culture, Environment and sustainability, Management and business, Law",,,026637D,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,Business and commerce at UniSC,,,,,,,,"Our courses are taught by experienced legal practitioners and criminologists with a focus on practical skills, to give you a real-world understanding of crime, justice and the law for an interesting and rewarding career path.Study Law and Criminology with the top ranked public university in Queensland for overall experience and student support.*In 2025, UniSC will help you accelerate your legal education with anew three-year Bachelor of Laws program. This innovative approach offers the flexibility to study online and the choice of extended minors in Advocacy and Litigation, Civil Obligations and Specialised Legal.Learn moreabout this new program.*Good Universities Guide 2023/24",,,,,,,,,,,,,,,,,,,,
Bachelor ofUrban Design and Town Planning (Honours),60.00,4 years,4 years,"A$11,232 - 2025 Fees",011091,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton Bay,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$11,232 - 2025 FeesCSP","A$11,232 - 2025 FeesCSP",011091014092,Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inAnimal EcologyFraser Coast,Moreton Bay,Sunshine Coast6 monthsfull time or equivalent part-timeCareer outcomesWith further study - Animal ecology specialist, Private environmental consulting, Researcher, Research assistant, Manager in Government and non-governmental agencies, Ranger, Manager in wildlife management and conservation organisations, Practitioner in environmental monitoring and management, Collector and curator in museums, Environmental educator, Specialist ecotourism guideDiploma inOutdoor Environmental StudiesSunshine Coast1 yearfull time or equivalent part-timeCareer outcomesOutdoor education leaders, Outdoor environmental studies, Entry-level environmental management positionsBachelor ofUrban Design and Town Planning (Honours)Sunshine Coast,Moreton Bay4 yearsfull time or equivalent part-timeCareer outcomesStrategic planning and policy, Urban designer, Place maker, Planning consultancy, Community development, Development assessment, Infrastructure development, Social planner, Transport planner, Property developmentBachelor ofEngineering (Civil) (Honours)  / Environmental ScienceSunshine Coast,Moreton Bay5 yearsfull time or equivalent part-timeCareer outcomesGovernment agencies, Construction companies, Engineering consultancies, Building industry, Water supply authorities, Mining industry, Research organisations, Parks and wildlife, Resource management, Environmental consultanciesMaster ofRegional Planning by ResearchSunshine Coast,Caboolture,Fraser Coast,Gympie,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesStrategic planning and policy, Urban designer, Place maker, Planning consultancy, Community development, Development assessment, Infrastructure development, Social planner, Transport planner, Property development",,,095999F,60.0060.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,"An undergraduate degree is your first degree in a particular subject. This is usually a bachelor’s degree (generally three years) or a bachelor’s degree withhonours(generally four years).UniSC also offers a wide range of single ordoublebachelor degrees.Some UniSC degrees (also called ‘programs’) offer a graduate entry option. If you’ve already completed an undergraduate degree, and want to do another one in a different field, you can often fast-track completion of your next program.UniSC programs include a strong focus on the core skills you’ll need in the future workplace. No matter what you study, you’ll learn to communicate well, solve problems and think creatively. All programs include hands-on training, practical experience, and internships.","A double degree lets you combine knowledge and skills from two different fields. If you’re a little bit more ambitious, UniSC offers a range of career-focused double degrees that will broaden your horizons and make your career options twice as bright.You can study two related fields, or combine a professional qualification with an industry you are interested in (like business and science, or law and environmental management). You can also use your second degree to study something you love, like creative writing.A double degree usually involves the same workload and number of courses per semester as a single degree. You complete the core courses from each degree, but study fewer electives, which saves time and fees.With just one extra year of study, you’ll graduate with two qualifications and more flexibility in your chosen career.","An honours degree is a higher qualification than a bachelor’s degree. Honours is a great way to deepen your knowledge in a particular area and build advanced research, writing and critical thinking skills.There are different kinds of honours programs.End-on honours programsThese programs involve one extra year of study, in addition to your bachelor degree. You can apply for a one-year honours program after you have completed a bachelor degree in the same discipline.During your honours year, you work one-on-one with a UniSC academic, who is known as your supervisor. They help you design a research project and write a thesis on a topic you’re passionate about.Embedded honours programsSome four-year bachelor programs include an honours qualification. If you study one of these programs, you will automatically graduate with honours.Other programs, like UniSC’s Bachelor of Laws and Bachelor of Nutrition and Dietetics, don’t require an extra year of study, but let you choose an honours ‘pathway’ in your third or fourth year depending on your level of achievement.",Associate degrees (generally two years) give a broad introduction to a field of interest and can lead to further study.Associate Degree in BusinessAssociate Degree in Science,Diplomas (generally one year) give a broad introduction to a field of interest and can lead to further study.,,,,,,,,,,,,,,,
